Category,Product,Old Price,New Price
Electric Ride-On Cars,Lamborghini Huracan 24V 1-Seater Kids Car,"R2,150","R5,999"
Electric Ride-On Cars,Lamborghini Huracan 24V 2-Seater Kids Car,"R3,200","R7,999"
Electric Ride-On Cars,Lamborghini Huracan STO Drift 24V 1-Seater,"R2,450","R6,499"
Electric Ride-On Cars,Lamborghini Revuelto 12V 1-Seater Kids Car,"R1,837","R4,499"
Electric Ride-On Cars,Lamborghini Urus 12V SUV Kids Car,"R5,500","R12,999"
Gaming Consoles,Logitech G923 Bundle PlayStation/PC Wheel + Shifter,"R3,300","R12,499"
Gaming Consoles,Logitech G923 Bundle Xbox/PC Wheel + Shifter,"R3,500","R12,499"
Gaming Consoles,Logitech G923 PlayStation/PC Wheel & Pedals,"R2,300","R9,955"
Gaming Consoles,Logitech G923 Premium PC/Console Complete Racing Set,"R4,000","R13,999"
Gaming Consoles,Logitech G923 Xbox/PC Wheel & Pedals,"R2,600","R9,955"
Gaming Consoles,PlayStation 5 Pro 2TB,"R3,600","R20,999"
Gaming Consoles,PlayStation 5 Slim + Fortnite Bundle 1TB,"R2,300","R14,499"
Gaming Consoles,PlayStation 5 Slim Digital 1TB,"R2,300","R12,999"
Gaming Consoles,PlayStation 5 Slim Disc 1TB,"R2,500","R13,999"
Gaming Consoles,PlayStation 5 Standard + GT7 Bundle 1TB,"R2,800","R15,499"
Gaming Consoles,Xbox Series S 1TB,"R2,600","R10,999"
Gaming Consoles,Xbox Series S 512GB,"R2,400","R8,999"
Gaming Consoles,Xbox Series X 1TB,"R3,200","R16,999"
Gaming Consoles,Xbox Series X Digital 1TB,"R3,700","R15,999"
Gaming Consoles,Xbox Series X Galaxy Black Edition 2TB,"R4,450","R19,999"
Gaming PCs,ASUS ROG Gaming PC 1TB RTX 4060 Ti,"R8,200","R19,999"
Gaming PCs,HP Omen Gaming Desktop 1TB RTX 4070 Super,"R12,400","R29,999"
Gaming PCs,Lenovo Legion Tower 1TB RTX 4070,"R10,800","R24,999"
Gaming PCs,MSI Gaming Desktop 1TB RTX 4060,"R6,500","R16,999"
Gaming PCs,PCBuilder Defender Ryzen 5 5600GT 1TB Radeon Graphics,"R4,800","R9,999"
Home Appliances,Bennett Read Sponono 7Kg,R200,"R2,499"
Home Appliances,Bennett Read Top Loader 15Kg,"R1,600","R7,999"
Home Appliances,Bosch Series 4 Dishwasher 14 Place,"R4,100","R12,999"
Home Appliances,Bosch Series 4 Front Loader 9Kg,"R5,200","R14,999"
Home Appliances,Bosch Upright Fridge 346L,"R5,300","R12,999"
Home Appliances,Defy DDW242 Dishwasher 13 Place,"R3,000","R8,999"
Home Appliances,Defy Dishwasher 13 Place,"R2,000","R5,999"
Home Appliances,Defy Top Loader 14Kg,"R2,300","R6,999"
Home Appliances,Defy Top Loader 8Kg,R800,"R3,499"
Home Appliances,Defy Upright Fridge 335L,"R3,900","R9,999"
